Adidas,Footwear,ADS.DE,4.91,57016 (2018),1924
Allianz,Financial Services,ALV.DE,7.22,142460 (2018),1890
BASF,Basic Materials,BAS.DE,4.89,122404 (2018),1865
Bayer,Healthcare,BAYN.DE,5.52,110838 (2018),1863
BMW,Automobile,BMW.DE,2.00,134682 (2018),1916
Continental,Automotive,CON.DE,0.99,243226 (2018),1871
Covestro,Basic Materials,1COV.DE,0.81,16770 (2018),2015
Delivery Hero,Online Food Ordering,DHER.DE,1.28,24617 (2019),2011
Deutsche Bank,Financial Services,DBK.DE,1.56,91463 (2019),1870
Deutsche B̦rse,Financial Services,DB1.DE,2.67,5964 (2018),1992
Deutsche Post,Industrials,DPW.DE,3.91,547459 (2018),1995
Deutsche Telekom,Communication Services,DTE.DE,4.93,215675 (2018),1995
Deutsche Wohnen,Real Estate,DWNI.DE,1.41,3.549 (2019),1998
E.ON,Utilities,EOAN.DE,2.10,43302 (2018),2000
Fresenius,Healthcare,FRE.DE,1.63,276750 (2018),1912
Fresenius Medical Care,Healthcare,FME.DE,1.44,118308 (2018),1996
HeidelbergCement,Basic Materials,HEI.DE,0.78,57939 (2018),1874
Henkel,Consumer Goods,HEN3.DE,1.53,53450 (2018),1876
Infineon Technologies,Technology,IFX.DE,3.06,40100 (2018),1999
Linde,Basic Materials,LIN.DE,10.47,58000 (2018),1879
Mercedes-Benz Group,Automobile,MBG.DE,3.84,298683 (2018),1926
Merck,Healthcare,MRK.DE,1.61,51713 (2018),1668
MTU Aero Engines,Industrials,MTX.DE,0.80,10206 (2019),1934
Munich Re,Financial Services,MUV2.DE,3.31,41410 (2018),1880
RWE,Utilities,RWE.DE,1.91,17748 (2018),1898
SAP,Technology,SAP.DE,10.18,96498 (2018),1972
Siemens,Industrials,SIE.DE,8.65,379000 (2018),1847
Siemens Energy,Energy technology,ENR.DE,,88000 (2019),2020
Volkswagen Group,Automobile,VOW3.DE,2.55,302554 (2018),1937
Vonovia,Real Estate,VNA.DE,3.11,9923 (2018),2001